50771	0
50772	0
50773	0
50774	0
50775	0
50776	0
50777	0
50778	0
50779	0
50780	0
50781	1
50782	0
50783	6
50784	6
50785	0
50786	2
50787	0
50788	0
50789	0
50790	0
50791	0
50792	0
50793	0
50794	0
50795	0
50796	7
50797	0
50798	0
50799	0
50800	0
50801	0
50802	0
50803	0
50804	0
50805	0
50806	2
50807	0
50808	0
50809	0
50810	0
50811	0
50812	0
50813	17
50814	2
50815	15
50816	1
50817	0
50818	0
50819	0
50820	0
50821	0
50822	0
50823	0
50824	0
50825	0
50826	0
50827	1
50828	0
50829	3
50830	1
50831	2
50832	0
50833	0
50834	0
50835	0
50836	0
50837	0
50838	0
50839	0
50840	0
50841	0
50842	1
50843	3
50844	0
50845	0
50846	0
50847	0
50848	0
50849	0
50850	0
50851	0
50852	0
50853	0
50854	0
50855	0
50856	0
50857	0
50858	0
50859	0
50860	0
50861	0
50862	0
50863	0
50864	0
50865	0
50866	0
50867	0
50868	0
50869	0
50870	0
50871	0
50872	0
50873	0
50874	0
50875	0
50876	0
50877	0
50878	0
50879	0
50880	0
50881	0
50882	0
50883	0
50884	0
50885	0
50886	0
50887	0
50888	0
50889	0
50890	0
50891	3
50892	0
50893	0
50894	0
50895	0
50896	0
50897	0
50898	0
50899	0
50900	0
50901	4
50902	0
50903	0
50904	0
50905	0
50906	1
50907	0
50908	4
50909	0
50910	0
50911	2
50912	0
50913	0
50914	0
50915	0
50916	0
50917	0
50918	0
50919	4
50920	0
50921	0
50922	0
50923	0
50924	0
50925	0
50926	0
50927	0
50928	0
50929	0
50930	0
50931	0
50932	0
50933	0
50934	0
50935	0
50936	0
50937	0
50938	0
50939	0
50940	0
50941	0
50942	0
50943	0
50944	0
50945	0
50946	1
50947	2
50948	0
50949	0
50950	0
50951	0
50952	2
50953	0
50954	0
50955	5
50956	0
50957	0
50958	0
50959	0
50960	0
50961	0
50962	2
50963	3
50964	0
50965	0
50966	0
50967	0
50968	0
50969	0
50970	0
50971	0
50972	0
50973	0
50974	0
50975	0
50976	3
50977	0
50978	0
50979	0
50980	0
50981	0
50982	1
50983	0
50984	0
50985	0
50986	0
50987	0
50988	0
50989	10
50990	2
50991	0
50992	0
50993	0
50994	0
50995	0
50996	0
50997	0
50998	0
50999	0
51000	0
51001	0
51002	0
51003	0
51004	0
51005	0
51006	0
51007	0
51008	0
51009	0
51010	0
51011	0
51012	0
51013	0
51014	0
51015	0
51016	0
51017	0
51018	0
51019	0
51020	0
51021	0
51022	0
51023	0
51024	0
51025	1
51026	0
51027	0
51028	0
51029	6
51030	0
51031	0
51032	0
51033	0
51034	0
51035	0
51036	0
51037	0
51038	0
51039	0
51040	0
51041	0
51042	0
51043	0
51044	0
51045	0
51046	0
51047	0
51048	0
51049	0
51050	0
51051	0
51052	0
51053	0
51054	0
51055	0
51056	17
51057	0
51058	0
51059	0
51060	0
51061	0
51062	0
51063	0
51064	4
51065	0
51066	0
51067	0
51068	0
51069	0
51070	0
51071	0
51072	0
51073	0
51074	1
51075	0
51076	0
51077	0
51078	0
51079	0
51080	0
51081	0
51082	0
51083	0
51084	0
51085	0
51086	0
51087	0
51088	0
51089	0
51090	0
51091	0
51092	0
51093	0
51094	0
51095	0
51096	0
51097	0
51098	0
51099	0
51100	0
51101	0
51102	0
51103	0
51104	0
51105	0
51106	0
51107	0
51108	0
51109	0
51110	0
51111	1
51112	1
51113	3
51114	67
51115	0
51116	0
51117	0
51118	0
51119	0
51120	0
51121	0
51122	0
51123	0
51124	0
51125	0
51126	0
51127	0
51128	0
51129	0
51130	0
51131	0
51132	0
51133	0
51134	0
51135	0
51136	0
51137	0
51138	0
51139	0
51140	0
51141	0
51142	0
51143	0
51144	0
51145	0
51146	0
51147	0
51148	0
51149	2
51150	0
51151	0
51152	0
51153	0
51154	0
51155	0
51156	0
51157	0
51158	0
51159	0
51160	0
51161	0
51162	0
51163	0
51164	0
51165	0
51166	2
51167	0
51168	0
51169	0
51170	0
51171	4
51172	0
51173	0
51174	0
51175	0
51176	0
51177	0
51178	0
51179	0
51180	0
51181	0
51182	0
51183	0
51184	0
51185	0
51186	2
51187	0
51188	2
51189	0
51190	0
51191	0
51192	0
51193	0
51194	0
51195	0
51196	0
51197	0
51198	0
51199	0
51200	0
51201	0
51202	0
51203	2
51204	0
51205	0
51206	0
51207	2
51208	0
51209	0
51210	0
51211	0
51212	0
51213	0
51214	0
51215	0
51216	0
51217	0
51218	5
51219	1
51220	0
51221	1
51222	0
51223	0
51224	1
51225	0
51226	0
51227	0
51228	0
51229	0
51230	14
51231	0
51232	0
51233	0
51234	0
51235	0
51236	0
51237	0
51238	0
51239	0
51240	0
51241	0
51242	0
51243	0
51244	1
51245	0
51246	0
51247	0
51248	28
51249	0
51250	0
51251	0
51252	0
51253	0
51254	0
51255	0
51256	0
51257	0
51258	0
51259	0
51260	0
51261	0
51262	0
51263	0
51264	0
51265	0
51266	0
51267	0
51268	0
51269	0
51270	0
51271	3
51272	0
51273	0
51274	0
51275	0
51276	0
51277	1
51278	0
51279	0
51280	0
51281	0
51282	0
51283	0
51284	0
51285	0
51286	0
51287	0
51288	0
51289	0
51290	0
51291	0
51292	0
51293	0
51294	0
51295	0
51296	0
51297	0
51298	0
51299	0
51300	0
51301	0
51302	0
51303	0
51304	0
51305	0
51306	0
51307	0
51308	0
51309	0
51310	0
51311	0
51312	3
51313	0
51314	0
51315	0
51316	0
51317	0
51318	0
51319	0
51320	2
51321	0
51322	0
51323	0
51324	0
51325	0
51326	0
51327	0
51328	0
51329	0
51330	0
51331	0
51332	0
51333	0
51334	0
51335	0
51336	0
51337	4
51338	0
51339	0
51340	0
51341	0
51342	0
51343	0
51344	0
51345	0
51346	0
51347	0
51348	0
51349	0
51350	0
51351	0
51352	0
51353	0
51354	0
51355	0
51356	0
51357	0
51358	0
51359	0
51360	0
51361	0
51362	0
51363	24
51364	10
51365	0
51366	0
51367	0
51368	0
51369	0
51370	0
51371	0
51372	3
51373	0
51374	6
51375	0
51376	0
51377	0
51378	0
51379	0
51380	0
51381	0
51382	0
51383	0
51384	0
51385	0
51386	0
51387	0
51388	0
51389	1
51390	0
51391	0
51392	0
51393	0
51394	0
51395	0
51396	0
51397	0
51398	0
51399	0
51400	0
51401	0
51402	0
51403	0
51404	0
51405	0
51406	0
51407	0
51408	0
51409	0
51410	0
51411	3
51412	0
51413	0
51414	0
51415	0
51416	0
51417	2
51418	0
51419	0
51420	0
51421	0
51422	0
51423	0
51424	0
51425	0
51426	0
51427	0
51428	0
51429	0
51430	0
51431	0
51432	0
51433	0
51434	0
51435	0
51436	0
51437	4
51438	0
51439	0
51440	3
51441	0
51442	0
51443	0
51444	0
51445	0
51446	0
51447	0
51448	0
51449	0
51450	0
51451	0
51452	0
51453	0
51454	0
51455	0
51456	0
51457	0
